text,emotion,severity,intent,context,response
I don't know how to handle this neutral anymore,neutral,low,general,family,Try taking small steps to manage your situation.
My study situation is making me feel anger,anger,low,help,study,It sounds like you're going through something difficult.
Lately my study has been causing me neutral,neutral,high,general,study,It might help to take a break and relax.
Lately my health has been me causing stress,anxiety,high,general,health,It might help to take a break and relax.
My situation is making me feel anxiety,anxiety,high,help,social,Consider talking to someone you trust.
Sometimes I neutral without any reason,neutral,high,crisis,study,Seeking professional support could be beneficial.
Everything feels overwhelming in my,neutral,medium,vent,study,"You are not alone, and it's okay to seek help."
Lately my family has been causing me neutral,neutral,high,vent,family,Try taking small steps to manage your situation.
Sometimes I feel anger without any reason,anger,medium,general,social,Seeking professional support could be beneficial.
I don't know how to handle this anxiety,anxiety,medium,help,health,"You are not alone, and it's okay to seek help."
I feel nervous because of my family,anxiety,high,vent,family,"You are not alone, and it's okay to seek help."
I dealing with anger and it is getting high,anger,high,information,work,"You are not alone, and it's okay to seek help."
I am with dealing neutral and it is getting low,neutral,low,crisis,health,Try taking small steps to manage your situation.
Everything feels overwhelming in my health,sadness,low,crisis,health,Consider talking to someone you trust.
Sometimes I feel anger without any reason,anger,low,general,family,Try taking small steps to manage your situation.
I feel medium levels of anxiety recently,anxiety,medium,help,family,"You are not alone, and it's okay to seek help."
I know don't how to handle this stress anymore,stress,medium,information,work,Seeking professional support could be beneficial.
I feel high levels of sadness recently,sadness,high,crisis,social,"You are not alone, and it's okay to seek help."
Everything feels overwhelming in my family,neutral,low,vent,family,Try taking small steps to manage your situation.
My study situation is me making feel anger,anger,low,information,study,"You are not alone, and it's okay to seek help."
I feel high levels of sadness recently,sadness,high,crisis,health,It sounds like you're going through something difficult.
Sometimes I feel neutral without any reason,neutral,low,crisis,social,"You are not alone, and it's okay to seek help."
Lately my work has been causing me sadness,sadness,high,information,work,"You are not alone, and it's okay to seek help."
Sometimes I feel neutral without reason,neutral,low,general,social,It sounds like you're going through something difficult.
I feel high levels of anxiety recently,anxiety,high,vent,health,Consider talking to someone you trust.
Everything feels overwhelming in my study,anxiety,medium,general,study,"You are not alone, and it's okay to seek help."
I am dealing with and anxiety it is getting low,anxiety,low,crisis,study,It sounds like you're going through something difficult.
I don't know how to handle this anymore,neutral,high,information,family,Consider talking to someone you trust.
Sometimes I feel stress without any reason,stress,high,general,social,Try taking small steps to manage your situation.
I don't know how to handle this anxiety anymore,anxiety,high,information,health,"You are not alone, and it's okay to seek help."
Lately study my has been causing me neutral,neutral,medium,general,study,Consider talking to someone you trust.
I feel low levels of anxiety recently,anxiety,low,vent,family,It might help to take a break and relax.
